soc_code,soc_title,aioe,isco_code,isco_title,n_isco,aioe_soc_split,anzsco_code,anzsco_title,n_anzsco,aioe_path
11-9199,"Managers, All Other",0.9099647,1439,Services managers not elsewhere classified,7.0,0.12999495714285714,141211,Caravan Park and Camping Ground Manager,11.0,0.011817723376623375
11-9199,"Managers, All Other",0.9099647,1439,Services managers not elsewhere classified,7.0,0.12999495714285714,141411,Licensed Club Manager,11.0,0.011817723376623375
11-9199,"Managers, All Other",0.9099647,1439,Services managers not elsewhere classified,7.0,0.12999495714285714,141999,Accommodation and Hospitality Managers nec,11.0,0.011817723376623375
11-9199,"Managers, All Other",0.9099647,1439,Services managers not elsewhere classified,7.0,0.12999495714285714,142116,Travel Agency Manager,11.0,0.011817723376623375
11-9199,"Managers, All Other",0.9099647,1439,Services managers not elsewhere classified,7.0,0.12999495714285714,149211,Call or Contact Centre Manager,11.0,0.011817723376623375
11-9199,"Managers, All Other",0.9099647,1439,Services managers not elsewhere classified,7.0,0.12999495714285714,149212,Customer Service Manager,11.0,0.011817723376623375
11-9199,"Managers, All Other",0.9099647,1439,Services managers not elsewhere classified,7.0,0.12999495714285714,149311,Conference and Event Organiser,11.0,0.011817723376623375
11-9199,"Managers, All Other",0.9099647,1439,Services managers not elsewhere classified,7.0,0.12999495714285714,149911,Boarding Kennel or Cattery Operator,11.0,0.011817723376623375
11-9199,"Managers, All Other",0.9099647,1439,Services managers not elsewhere classified,7.0,0.12999495714285714,149913,Facilities Manager,11.0,0.011817723376623375
11-9199,"Managers, All Other",0.9099647,1439,Services managers not elsewhere classified,7.0,0.12999495714285714,149915,Equipment Hire Manager,11.0,0.011817723376623375
11-9199,"Managers, All Other",0.9099647,1439,Services managers not elsewhere classified,7.0,0.12999495714285714,149999,"Hospitality, Retail and Service Managers nec",11.0,0.011817723376623375
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628,3339,Business services agents not elsewhere classified,1.0,1.247628,222199,Financial Brokers nec,11.0,0.11342072727272727
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628,3339,Business services agents not elsewhere classified,1.0,1.247628,223112,Recruitment Consultant,11.0,0.11342072727272727
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628,3339,Business services agents not elsewhere classified,1.0,1.247628,224912,Liaison Officer,11.0,0.11342072727272727
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628,3339,Business services agents not elsewhere classified,1.0,1.247628,224999,Information and Organisation Professionals nec,11.0,0.11342072727272727
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628,3339,Business services agents not elsewhere classified,1.0,1.247628,442216,Security Consultant,11.0,0.11342072727272727
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628,3339,Business services agents not elsewhere classified,1.0,1.247628,511111,Contract Administrator,11.0,0.11342072727272727
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628,3339,Business services agents not elsewhere classified,1.0,1.247628,511112,Program or Project Administrator,11.0,0.11342072727272727
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628,3339,Business services agents not elsewhere classified,1.0,1.247628,599916,Facilities Administrator,11.0,0.11342072727272727
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628,3339,Business services agents not elsewhere classified,1.0,1.247628,611111,Auctioneer,11.0,0.11342072727272727
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628,3339,Business services agents not elsewhere classified,1.0,1.247628,611112,Stock and Station Agent,11.0,0.11342072727272727
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628,3339,Business services agents not elsewhere classified,1.0,1.247628,611312,Sales Representative (Business Services),11.0,0.11342072727272727
13-1021,"Buyers and Purchasing Agents, Farm Products",0.736816,3323,Buyers,1.0,0.736816,639211,Retail Buyer,3.0,0.24560533333333334
13-1021,"Buyers and Purchasing Agents, Farm Products",0.736816,3323,Buyers,1.0,0.736816,639212,Wool Buyer,3.0,0.24560533333333334
