isco_code,anzsco_code,anzsco_title
3111,311412,Earth Science Technician
3111,311414,School Laboratory Technician
3111,311415,Hydrographer
3111,311499,Science Technicians nec
3112,312112,Building Associate
3112,312113,Building Inspector
3112,312114,Construction Estimator
3112,312116,Surveying or Spatial Science Technician
3112,312212,Civil Engineering Technician
3113,312312,Electrical Engineering Technician
3114,312412,Electronic Engineering Technician
3115,231215,Marine Surveyor
3115,312512,Mechanical Engineering Technician
3116,312999,Building and Engineering Technicians nec
3117,312611,Safety Inspector
3117,312912,Metallurgical or Materials Technician
3117,312913,Mine Deputy
3118,312111,Architectural Draftsperson
3118,312116,Surveying or Spatial Science Technician
3118,312211,Civil Engineering Draftsperson
3118,312311,Electrical Engineering Draftsperson
3118,312411,Electronic Engineering Draftsperson
3118,312511,Mechanical Engineering Draftsperson
3118,312914,Other Draftsperson
3119,311499,Science Technicians nec
3119,312199,"Architectural, Building and Surveying Technicians nec"
3119,312912,Metallurgical or Materials Technician
3119,312999,Building and Engineering Technicians nec
3119,399916,Plastics Technician
3119,399918,Fire Protection Equipment Technician
3121,312913,Mine Deputy
3122,133512,Production Manager (Manufacturing)
3123,133111,Construction Project Manager
3123,312112,Building Associate
3131,399212,Gas or Petroleum Operator
3131,399213,Power Generation Plant Operator
3132,712921,Waste Water or Water Plant Operator
3132,712999,Stationary Plant Operators nec
3133,399211,Chemical Plant Operator
3134,399212,Gas or Petroleum Operator
3135,712311,Engineering Production Worker
3139,712916,Paper and Pulp Mill Operator
3139,832211,Product Assembler
3141,311413,Life Science Technician
3142,311112,Agricultural and Agritech Technician
3142,311113,Animal Husbandry Technician
3142,311114,Aquaculture or Fisheries Technician
3142,311115,Irrigation Designer
3143,311112,Agricultural and Agritech Technician
3143,311413,Life Science Technician
3151,231212,Ship's Engineer
3152,231213,Ship's Master
3152,231214,Ship's Officer
3152,231299,Marine Transport Professionals nec
3153,231111,Aeroplane Pilot
3153,231113,Flying Instructor
3153,231114,Helicopter Pilot
3153,231199,Air Transport Professionals nec
3154,231112,Air Traffic Controller
3155,312412,Electronic Engineering Technician
3155,313211,Radiocommunications Technician
3211,251211,Medical Diagnostic Radiographer
