anzsco_code,anzsco_title,aioe_mean,aioe_sum,n_paths
811513,p,-0.45723230000000004,-0.9144646000000001,2
712916,p,-0.3062520611111111,-0.9187561833333333,3
411111,p,-0.1610891866013072,-0.9665351196078431,6
711999,p,-0.20003713333333334,-1.0001856666666666,5
431211,p,-0.20377266500000002,-1.018863325,5
399914,p,-0.20476951333333332,-1.0238475666666667,5
711799,p,-0.5467201666666667,-1.0934403333333333,2
393112,p,-0.27690572222222226,-1.107622888888889,4
843999,p,-0.283261,-1.133044,4
334115,p,-0.38671783333333337,-1.1601535,3
323315,p,-0.17044394875,-1.36355159,8
831199,p,-0.12658836013986013,-1.3924719615384615,11
561211,p,-0.14555634205882353,-1.4555634205882353,10
821412,p,-0.162430975,-1.461878775,9
721999,p,-0.166287978315508,-1.6628797831550801,10
399111,p,-0.11630990140056022,-1.9772683238095237,17
399112,p,-0.43066076666666664,-2.153303833333333,5
322311,p,-0.29924384732142856,-2.3939507785714285,8
399212,p,-0.309664875,-2.477319,8
821211,p,-0.32790086500000004,-3.27900865,10
341111,p,-0.24000296760942763,-3.6000445141414144,15
399999,p,-0.21447009485409652,-3.8604617073737373,18
323211,p,-0.19438448178030304,-3.8876896356060606,20
332111,p,-0.647955575,-4.535689025,7
712999,p,-0.2047182734264416,-5.3226751090874815,26
832211,p,-0.6871369444444445,-6.1842325,9
712311,p,-0.2741426320252793,-7.40185106468254,27
