soc_code,soc_title,aioe,isco_code,isco_title,isco_count,aioe_weighted
19-3011,Economists,1.330122,2631,Economists,1.0,1.330122
19-3022,Survey Researchers,1.278523,2120,"Mathematicians, actuaries and statisticians",1.0,1.278523
19-3031,"Clinical, Counseling, and School Psychologists",1.626016,2634,Psychologists,1.0,1.626016
19-3032,Industrial-Organizational Psychologists,1.427002,2634,Psychologists,1.0,1.427002
19-3039,"Psychologists, All Other",1.329938,2634,Psychologists,1.0,1.329938
19-3041,Sociologists,1.747498,2632,"Sociologists, anthropologists and related professionals",1.0,1.747498
19-3051,Urban and Regional Planners,1.07547,2164,Town and traffic planners,1.0,1.07547
19-3091,Anthropologists and Archeologists,0.7388214,2632,"Sociologists, anthropologists and related professionals",1.0,0.7388214
19-3092,Geographers,1.363147,2632,"Sociologists, anthropologists and related professionals",1.0,1.363147
19-3093,Historians,1.490678,2633,"Philosophers, historians and political scientists",1.0,1.490678
19-3094,Political Scientists,1.686549,2633,"Philosophers, historians and political scientists",1.0,1.686549
19-3099,"Social Scientists and Related Workers, All Other",1.084824,2633,"Philosophers, historians and political scientists",2.0,0.542412
19-3099,"Social Scientists and Related Workers, All Other",1.084824,2643,"Translators, interpreters and other linguists",2.0,0.542412
19-4011,Agricultural and Food Science Technicians,-0.0492323,3142,Agricultural technicians,1.0,-0.0492323
19-4021,Biological Technicians,0.1328288,3141,Life science technicians (excluding medical),1.0,0.1328288
19-4031,Chemical Technicians,-0.0940159,3111,Chemical and physical science technicians,1.0,-0.0940159
19-4041,Geological and Petroleum Technicians,-0.0265366,3111,Chemical and physical science technicians,2.0,-0.0132683
19-4041,Geological and Petroleum Technicians,-0.0265366,3117,Mining and metallurgical technicians,2.0,-0.0132683
19-4051,Nuclear Technicians,-0.0905259,3119,Physical and engineering science technicians not elsewhere classified,1.0,-0.0905259
19-4061,Social Science Research Assistants,1.125941,3314,"Statistical, mathematical and related associate professionals",1.0,1.125941
19-4091,"Environmental Science and Protection Technicians, Including Health",-0.1429246,3141,Life science technicians (excluding medical),1.0,-0.1429246
19-4092,Forensic Science Technicians,0.0103722,3119,Physical and engineering science technicians not elsewhere classified,1.0,0.0103722
19-4093,Forest and Conservation Technicians,-0.7611464,3143,Forestry technicians,1.0,-0.7611464
19-4099,"Life, Physical, and Social Science Technicians, All Other",0.176155,3111,Chemical and physical science technicians,2.0,0.0880775
19-4099,"Life, Physical, and Social Science Technicians, All Other",0.176155,3119,Physical and engineering science technicians not elsewhere classified,2.0,0.0880775
21-1011,Substance Abuse and Behavioral Disorder Counselors,1.203909,2635,Social work and counselling professionals,1.0,1.203909
21-1012,"Educational, Guidance, School, and Vocational Counselors",1.196385,2359,Teaching professionals not elsewhere classified,2.0,0.5981925
21-1012,"Educational, Guidance, School, and Vocational Counselors",1.196385,2423,Personnel and careers professionals,2.0,0.5981925
