person_id,year,occ_code,occ_major_group,white_collar,blue_collar,ai_exposure,annual_wage,log_wage,sex,age,state,edu,yr_2021,ai_x_yr2021,yr_2022,ai_x_yr2022,yr_2023,ai_x_yr2023,yr_2024,ai_x_yr2024
100464,2020,25,2,1,0,0.06932169621067275,1350.0,7.2078598714324755,2.0,53.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100465,2020,23,2,1,0,0.15416288675229753,1058.0,6.964135612418245,2.0,28.0,5.0,8.0,0,0.0,0,0.0,0,0.0,0,0.0
100467,2020,62,6,0,1,0.01205130738931425,750.0,6.620073206530356,2.0,24.0,2.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
100468,2020,44,4,1,0,-0.12962232612569966,2466.0,7.81035268372429,2.0,46.0,1.0,2.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100473,2020,74,7,0,1,-0.0749210140512265,1090.0,6.993932975223189,1.0,61.0,2.0,5.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100479,2020,82,8,0,1,-0.40529406484962405,6423.0,8.767640577257792,1.0,44.0,1.0,5.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100481,2020,33,3,1,0,-0.5307926277777777,1400.0,7.24422751560335,1.0,51.0,1.0,5.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100482,2020,55,5,0,1,0.48112254194444437,1500.0,7.313220387090301,2.0,51.0,1.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100483,2020,11,1,1,0,0.1360613264880952,4327.0,8.372629740224884,1.0,55.0,1.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100485,2020,62,6,0,1,0.01205130738931425,600.0,6.396929655216146,1.0,21.0,1.0,8.0,0,0.0,0,0.0,0,0.0,0,0.0
100486,2020,52,5,0,1,0.5169799814814815,863.0,6.760414691083428,2.0,40.0,3.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100487,2020,62,6,0,1,0.01205130738931425,800.0,6.684611727667927,1.0,39.0,3.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100488,2020,62,6,0,1,0.01205130738931425,850.0,6.745236349484363,1.0,19.0,3.0,8.0,0,0.0,0,0.0,0,0.0,0,0.0
100489,2020,36,3,1,0,-0.04568094818322348,1300.0,7.170119543449628,1.0,60.0,2.0,4.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100490,2020,41,4,1,0,-0.01690187175562818,1100.0,7.003065458786462,2.0,57.0,2.0,3.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100493,2020,23,2,1,0,0.15416288675229753,2580.0,7.855544677915663,1.0,47.0,1.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100494,2020,24,2,1,0,0.30562130137616766,2471.0,7.81237820598861,1.0,47.0,1.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
100499,2020,41,4,1,0,-0.01690187175562818,1403.0,7.246368080102461,2.0,52.0,2.0,4.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100500,2020,52,5,0,1,0.5169799814814815,1174.0,7.068172000388042,2.0,69.0,1.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100502,2020,13,1,1,0,0.2649464281801939,750.0,6.620073206530356,2.0,39.0,1.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100504,2020,63,6,0,1,0.24083617142429195,652.0,6.480044561926653,2.0,33.0,1.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
100507,2020,51,5,0,1,0.2939577758152958,2877.0,7.964503363551548,2.0,61.0,2.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
100508,2020,59,5,0,1,0.2407843772218851,1266.0,7.143617602704121,2.0,38.0,2.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
100509,2020,51,5,0,1,0.2939577758152958,1685.0,7.429520842786462,2.0,34.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
